Date,Post title,Local asset filename,Alt text,Status
2026/08/16 18:30,"A Sunday plan that fits real life",aug16-sunday-study-planning.png,"A faceless Sunday evening study planning scene with a calendar, ten question list, coffee, and organized notes.",Embedded by media URL
2026/08/10 08:00,"OSA recovery: the pattern matters",reel-2026-08-10-am.mp4,"Silent 60 second vertical reel about osa recovery: the pattern matters.",Embedded by media URL
2026/08/10 16:00,"A line waveform: trust, then test",reel-2026-08-10-pm.mp4,"Silent 60 second vertical reel about a line waveform: trust, then test.",Embedded by media URL
2026/08/11 08:00,"SGLT2: normal glucose can mislead",reel-2026-08-11-am.mp4,"Silent 60 second vertical reel about sglt2: normal glucose can mislead.",Embedded by media URL
2026/08/11 16:00,"Airway fire: the conversation is prevention",reel-2026-08-11-pm.mp4,"Silent 60 second vertical reel about airway fire: the conversation is prevention.",Embedded by media URL
2026/08/12 08:00,"TIVA: the line is part of the plan",reel-2026-08-12-am.mp4,"Silent 60 second vertical reel about tiva: the line is part of the plan.",Embedded by media URL
2026/08/12 16:00,"A block wearing off should not surprise the patient",reel-2026-08-12-pm.mp4,"Silent 60 second vertical reel about a block wearing off should not surprise the patient.",Embedded by media URL
2026/08/13 08:00,"Urgent DOAC: start with the clock",reel-2026-08-13-am.mp4,"Silent 60 second vertical reel about urgent doac: start with the clock.",Embedded by media URL
2026/08/13 16:00,"Tourniquet release: prepare for the transition",reel-2026-08-13-pm.mp4,"Silent 60 second vertical reel about tourniquet release: prepare for the transition.",Embedded by media URL
2026/08/14 08:00,"PONV: match the plan to the risk",reel-2026-08-14-am.mp4,"Silent 60 second vertical reel about ponv: match the plan to the risk.",Embedded by media URL
2026/08/14 16:00,"Low pressure alarm: patient first",reel-2026-08-14-pm.mp4,"Silent 60 second vertical reel about low pressure alarm: patient first.",Embedded by media URL
2026/08/15 08:00,"Delirium prevention: build a bundle",reel-2026-08-15-am.mp4,"Silent 60 second vertical reel about delirium prevention: build a bundle.",Embedded by media URL
2026/08/15 16:00,"ETT cuff: measure, do not guess",reel-2026-08-15-pm.mp4,"Silent 60 second vertical reel about ett cuff: measure, do not guess.",Embedded by media URL
2026/08/16 08:00,"BCIS: recognize the timing",reel-2026-08-16-am.mp4,"Silent 60 second vertical reel about bcis: recognize the timing.",Embedded by media URL
2026/08/16 16:00,"Cefazolin: keep the antibiotic clock visible",reel-2026-08-16-pm.mp4,"Silent 60 second vertical reel about cefazolin: keep the antibiotic clock visible.",Embedded by media URL
