Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/08/13 13:00,"An arterial waveform can be wrong in a useful way.

A clean arterial waveform is data. A distorted one is a warning about the measurement system. An underdamped trace can exaggerate systolic pressure. An overdamped trace can flatten the waveform and underestimate systolic pressure. Before you treat a surprising systolic number, use the fast flush test and inspect the line for the common mechanical causes.

Many oscillations after a fast flush suggest what?

Answer below 👇




An underdamped system, often with systolic overshoot.

Source: Abnormal arterial pressure waveform damping review
https://pmc.ncbi.nlm.nih.gov/articles/PMC11297833/

#Hemodynamics #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/arterial-line-damping.png,,,A faceless anesthesia monitor displaying an arterial pressure waveform with a transducer setup and fast flush device.,,,,,
2026/08/13 18:30,"Board prep should sound like the work you do.

CAA board preparation lives at the intersection of physiology, pharmacology, clinical judgment, and speed. It should not feel like a generic collection of disconnected facts. A strong question starts with a patient, asks for a decision, and gives you the source and reasoning to understand the choice after you commit to it.

That is the standard we hold MACPrep to: CAA and SAA focused material, direct citations, and a rationale for each option. If a question teaches you only one fact, it is leaving value on the table.

#CAA #SAA #NCCAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug13-caa-focused-exam-prep.png,,,"A faceless anesthesiologist assistant study scene with an anesthesia workstation, clinical notes, and a focused preparation session.",,,,,
2026/08/14 10:00,"SGLT2 medications: ask before the first incision.

A patient uses an SGLT2 inhibitor and is scheduled for elective surgery. What preoperative detail deserves deliberate verification?

A. Verify fasting glucose, then begin the planned routine surgery
B. Verify the medication hold and ketoacidosis risk
C. Verify a morning schedule and fasting duration
D. Verify any prior insulin use before proceeding

Drop your answer below 👇




Answer: B.

SGLT2 inhibitors can contribute to perioperative euglycemic diabetic ketoacidosis, so a reassuring glucose value does not rule it out. Current guidance commonly calls for holding most SGLT2 inhibitors for at least three days before scheduled surgery, with four days for ertugliflozin. For an urgent case or a missed hold, use the institution’s pathway and evaluate the clinical context rather than relying on glucose alone.

Save this for your next review block. Then open the source and make the rule your own.

Source: Perioperative Management of Patients Receiving SGLT2 Inhibitors
https://pubmed.ncbi.nlm.nih.gov/37932195/

#PerioperativeMedicine #CAA #SAA #DiabetesCare #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/sglt2-edka-perioperative-planning.png,,,A faceless preoperative medication reconciliation scene with a clinician reviewing a diabetes medication list.,,,,,
2026/08/14 13:00,"Airway fire prevention is a shared setup.

The fire triangle applies in the OR: oxidizer, ignition source, and fuel. In a high risk airway case, prevention is a team conversation before the first incision. Use the lowest feasible oxygen concentration, avoid nitrous oxide when appropriate, communicate before ignition, and make sure the team is ready to act if the conditions change.

What is the best time to discuss airway fire risk?

Answer below 👇




Before ignition, while there is still time to change the setup.

Source: ASA Practice Advisory for the Prevention and Management of Operating Room Fires
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-advisory-for-the-prevention-and-management-of-operating-room-fires.pdf

#AirwaySafety #CAA #SAA #AnesthesiaSafety #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/airway-fire-prevention.png,,,"A faceless airway surgery setup with a laser safe endotracheal tube, suction, wet sponges, and anesthesia equipment.",,,,,
2026/08/14 18:30,"Use the source as a study tool, not a decoration.

A citation is most useful when it lets you ask a better follow up question. Is this a consensus recommendation or a trial result? Does the guideline fit the patient in the stem? What changes the decision? When a rationale points you back to the source, you can build a clinical rule instead of collecting isolated trivia.

You do not need to read every paper cover to cover. Start by reading the exact section that supports the decision, then return to the question and see whether you can explain it in your own words.

#EvidenceBased #CAA #SAA #BoardReview #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug14-cited-source-learning.png,,,A faceless study desk with a clinical guideline open beside a question rationale and highlighted notes.,,,,,
2026/08/15 10:00,"TIVA: treat the delivery system as part of the anesthetic.

During TIVA, an infusion line is found disconnected from the patient. What is the immediate learning point?

A. Rely on vital signs alone to confirm adequate anesthetic depth
B. Restore delivery and check the infusion system
C. Continue unchanged because paralysis is present
D. Ignore the line while blood pressure is stable

Drop your answer below 👇




Answer: B.

With TIVA, the delivery path is central to the anesthetic plan. A disconnected line, incorrect pump setting, or other equipment problem can create a gap in anesthetic delivery. The ASA advisory emphasizes equipment checks and risk aware planning. The appropriate clinical response depends on the moment in the case, the drugs in use, and the patient, but the reflex is the same: verify delivery before assuming the anesthetic is intact.

Save this for your next review block. Then open the source and make the rule your own.

Source: ASA Practice Advisory for Intraoperative Awareness and Brain Function Monitoring
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-advisory-for-intraoperative-awareness-and-brain-function-monitoring.pdf

#TIVA #CAA #SAA #AnesthesiaSafety #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/tiva-monitoring.png,,,"A faceless total intravenous anesthesia setup with organized infusion pumps, labeled tubing, and a patient monitor.",,,,,
2026/08/15 13:00,"A block wearing off should not be a surprise.

A peripheral nerve block can be excellent analgesia and still need a handoff plan. Rebound pain is the abrupt increase in pain some patients experience as a block resolves. Set expectations early, build scheduled multimodal analgesia into the discharge plan when appropriate, and explain when to begin it. The best instruction is the one the patient can follow before pain catches up.

When should the rebound pain conversation happen?

Answer below 👇




Before discharge, not during the midnight phone call.

Source: Managing rebound pain after regional anesthesia
https://pmc.ncbi.nlm.nih.gov/articles/PMC7533186/

#RegionalAnesthesia #CAA #SAA #AcutePain #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/regional-block-rebound-pain.png,,,"A faceless regional anesthesia discharge planning scene with an arm sling, written medication schedule, and ice pack.",,,,,
2026/08/15 18:30,"Practice and review are different jobs.

Practice tests retrieval, pacing, and commitment. Review changes your next decision. If every study session feels like taking more questions, you may be measuring the same gap repeatedly without closing it. If every session is review, you may feel comfortable without testing whether you can pull the answer back under time pressure.

Try a simple split: answer a short mixed set without notes, then spend at least as long reviewing the misses and close calls. The second half is where the score improvement usually starts.

#StudyStrategy #CAA #SAA #BoardPreparation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug15-practice-versus-review.png,,,A faceless split study workspace with a timed question set on one side and a detailed review notebook on the other.,,,,,
2026/08/16 10:00,"Urgent DOAC cases: start with the clock.

An urgent operation is requested for a patient taking apixaban. Which information most directly frames the next conversation?

A. Old INR, incision time, blood type, and oxygen saturation
B. Last dose, renal function, procedure risk, urgency, and indication
C. Room assignment, blood pressure, fasting duration, and surgeon preference
D. Bottle details, refill timing, glucose, vital signs, and a prior INR

Drop your answer below 👇




Answer: B.

Urgent DOAC management is a structured risk assessment, not a single laboratory value. The time of the last dose, renal function, procedure bleeding risk, clinical urgency, and thrombotic indication guide whether delay, measurement, reversal, or another strategy is appropriate. Coordinate early with surgery, anesthesia, pharmacy, and any relevant specialists, using the local protocol for reversal and laboratory testing.

Save this for your next review block. Then open the source and make the rule your own.

Source: AHA Scientific Statement on Reversal of Direct Oral Anticoagulants
https://doi.org/10.1161/CIR.0000000000001285

#PerioperativeMedicine #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/urgent-doac-perioperative-planning.png,,,"A faceless preoperative planning desk with a clock, anticoagulant medication list, and coordinated surgical plan.",,,,,
2026/08/16 13:00,"Low pressure alarm: work from patient to machine.

A low pressure alarm is not a diagnosis. It is a prompt to verify ventilation and find the leak or disconnection. Start with the patient and the circuit you can see, then work through the endotracheal tube or supraglottic device, connections, sampling line, breathing circuit, and machine. If needed, hand ventilate with a self inflating bag while the system is checked.

What is the first priority?

Answer below 👇




Confirm the patient is being ventilated before troubleshooting the equipment in detail.

Source: Association of Anaesthetists monitoring recommendations
https://pmc.ncbi.nlm.nih.gov/articles/PMC5063182/

#AnesthesiaMachine #CAA #SAA #PatientSafety #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/anesthesia-machine-low-pressure.png,,,"A faceless anesthesia machine and breathing circuit with a low pressure alarm, self inflating bag, and airway equipment.",,,,,
2026/08/16 18:30,"A Sunday plan that fits real life.

You do not need a perfect six hour study block to keep moving. A realistic Sunday plan can be ten mixed questions, one missed topic from the week, and one source you want to understand better. Decide the time before the week begins. Choose the topic now. Leave the materials open and ready so the first step on Monday is small.

Consistency wins because it keeps the decisions easy. What are your next ten questions going to teach you?

#SundayStudy #CAA #SAA #BoardReview #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug16-sunday-study-planning.png,,,"A faceless Sunday evening study planning scene with a calendar, ten question list, coffee, and organized notes.",,,,,
